date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:14	360/360	---M-Z	200	added ('OK')	text/plain	date:Tue,%2020%20Jan%202026%2011:30:37%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/robots.txt		(from )
17:31:15	57825/57825	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202026%2017:31:15%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/index.html	(from )
17:31:15	24294/24294	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Jan%202026%2011:30:38%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/images/logo/favicon.png	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/images/logo/favicon.png	(from https://mature-brown-antelope.69-72-248-210.cpanel.site/)
17:31:16	76901/76901	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Jan%202026%2011:30:38%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/images/logo/apple-touch-icon.png	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/images/logo/apple-touch-icon.png	(from https://mature-brown-antelope.69-72-248-210.cpanel.site/)
17:31:17	828/828	---M--	200	added ('OK')	application/atom+xml	date:Tue,%2009%20Jun%202026%2017:31:17%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/?format=feed&type=atom	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/index7b17.html	(from https://mature-brown-antelope.69-72-248-210.cpanel.site/)
17:31:17	767/767	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2009%20Jun%202026%2017:31:17%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/?format=feed&type=rss	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/indexc0d0.html	(from https://mature-brown-antelope.69-72-248-210.cpanel.site/)
17:31:18	3654/3654	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20May%202026%2013:37:02%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/media/vendor/joomla-custom-elements/css/joomla-alert.min.css?0.4.1	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/media/vendor/joomla-custom-elements/css/joomla-alert.mineeda.css	(from https://mature-brown-antelope.69-72-248-210.cpanel.site/)
17:31:18	102652/102652	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20May%202026%2013:37:02%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/media/system/css/joomla-fontawesome.min.css?5.0.5	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/media/system/css/joomla-fontawesome.min61a0.css	(from https://mature-brown-antelope.69-72-248-210.cpanel.site/)
17:31:20	547006/547006	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2013:11:51%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/templates/yootheme/css/theme.12.css?1768914711	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/templates/yootheme/css/theme.12a7b1.css	(from https://mature-brown-antelope.69-72-248-210.cpanel.site/)
17:31:20	7786/7786	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20May%202026%2013:37:02%20GMT	https://mature-brown-antelope.69-72-248-210.cpanel.site/media/system/js/core.min.js?a3d8f8	/mirror/mature-brown-antelope.69-72-248-210.cpanel.site/media/system/js/core.min23b9.js	(from https://mature-brown-antelope.69-72-248-210.cpanel.site/)
